2015 OSAP Repayment Assistance Participation Rates by Program,,,,,,,,,,
Private Career Colleges in Ontario,,,,,,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),,,,,,
EVEREST COLLEGE - BARRIE Total,,251,99,39.4%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - BRAMPTON,Accounting And Payroll Administration,11,5,45.5%,,,,,,
,Addictions And Community Services Worker,32,18,56.3%,,,,,,
,Business Administration,26,9,34.6%,,,,,,
,Dental Office And Chairside Assistant,27,11,40.7%,,,,,,
,Early Childcare Assistant,14,6,42.9%,,,,,,
,Intra Oral Dental Assistant,13,7,53.8%,,,,,,
,Law Enforcement Foundations,11,3,27.3%,,,,,,
,Legal Administration Assistant,9,5,55.6%,,,,,,
,Medical Laboratory Assistant Technician,46,19,41.3%,,,,,,
,Medical Office Administrator,39,22,56.4%,,,,,,
,Network Administrator,12,3,25.0%,,,,,,
,Personal Support Worker,61,28,45.9%,,,,,,
EVEREST COLLEGE - BRAMPTON Total,,301,136,45.2%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - HAMILTON/KING STREET,Accounting And Payroll Administration,9,3,33.3%,,,,,,
,Business Administration,18,6,33.3%,,,,,,
,Executive Office Assistant,10,1,10.0%,,,,,,
,Law Enforcement Foundations,19,3,15.8%,,,,,,
,Legal Administration Assistant,17,8,47.1%,,,,,,
,Medical Office Administrator,49,16,32.7%,,,,,,
,Network Administrator,7,3,42.9%,,,,,,
,Personal Support Worker,36,13,36.1%,,,,,,
EVEREST COLLEGE - HAMILTON/KING STREET Total,,165,53,32.1%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - HAMILTON/UPPER JAMES,Addictions And Community Services Worker,41,16,39.0%,,,,,,
,Dental Office And Chairside Assistant,19,8,42.1%,,,,,,
,"Health, Fitness And Nutrition Consultant",14,6,42.9%,,,,,,
,Intra Oral Dental Assistant,14,5,35.7%,,,,,,
,Law Enforcement Foundations,*,*,*,,,,,,
,Massage Therapy,11,3,27.3%,,,,,,
,Medical Laboratory Assistant Technician,70,31,44.3%,,,,,,
,Medical Office Administrator,31,7,22.6%,,,,,,
,Personal Support Worker,24,7,29.2%,,,,,,
,Physiotherapist Assistant,6,3,50.0%,,,,,,
EVEREST COLLEGE - HAMILTON/UPPER JAMES Total,,231,86,37.2%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE- KITCHENER,Accounting And Payroll Administration,8,4,50.0%,,,,,,
,Addictions And Community Service Worker,39,18,46.2%,,,,,,
,Business Administration,8,3,37.5%,,,,,,
,Dental Office And Chairside Assistant,18,7,38.9%,,,,,,
,Executive Office Assistant,*,*,*,,,,,,
,"Health, Fitness And Nutrition Consultant",7,2,28.6%,,,,,,
,Intra Oral Dental Assistant,*,*,*,,,,,,
,Law Enforcement Foundations,17,7,41.2%,,,,,,
,Medical Office Administrator,36,16,44.4%,,,,,,
,Network Administrator,*,*,*,,,,,,
,Personal Support Worker,61,23,37.7%,,,,,,
EVEREST COLLEGE - KITCHENER Total,,203,85,41.9%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - LONDON,Accounting And Payroll Administration,*,*,*,,,,,,
,Additions And Community Services Worker,24,9,37.5%,,,,,,
,Business Administration,5,1,20.0%,,,,,,
,"Health, Fitness And Nutrition Consultant",8,2,25.0%,,,,,,
,Legal Administration Assistant,8,2,25.0%,,,,,,
,Medical Laboratory Assistant Technician,14,5,35.7%,,,,,,
,Medical Office Administrator,19,8,42.1%,,,,,,
,Network Administrator,*,*,*,,,,,,
,Office Assistant,*,*,*,,,,,,
,Personal Support Worker,25,11,44.0%,,,,,,
EVEREST COLLEGE - LONDON Total,,112,42,37.5%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - MISSISSAUGA,Accounting And Payroll Administration,18,6,33.3%,,,,,,
,Addictions And Community Service Worker,30,11,36.7%,,,,,,
,Banking And Financial Services,12,4,33.3%,,,,,,
,Business Administration,27,12,44.4%,,,,,,
,Computer Business Applications Specialist,*,*,*,,,,,,
,Dental Office And Chairside Assistant,16,6,37.5%,,,,,,
,Early Childcare Assistant,20,11,55.0%,,,,,,
,Esthetics,11,7,63.6%,,,,,,
,"Health, Fitness And Nutrition Consultant",13,6,46.2%,,,,,,
,Intra Oral Dental Assist Level ii,16,13,81.3%,,,,,,
,Law Enforcement Foundations,24,4,16.7%,,,,,,
,Massage Therapy,21,7,33.3%,,,,,,
,Medical Laboratory Assistant Technician,62,35,56.5%,,,,,,
,Medical Office Administrator,39,26,66.7%,,,,,,
,Network Administrator,20,5,25.0%,,,,,,
,Personal Support Worker,44,19,43.2%,,,,,,
,Physiotherapist Assistant,7,3,42.9%,,,,,,
EVEREST COLLEGE - MISSISSAUGA Total,,381,175,45.9%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - NEPEAN,Accounting And Payroll Administration,16,10,62.5%,,,,,,
,Addictions And Community Services Worker,27,14,51.9%,,,,,,
,Business Administration,10,4,40.0%,,,,,,
,Executive Office Assistant,*,*,*,,,,,,
,Law Enforcement Foundations,12,4,33.3%,,,,,,
,Medical Laboratory Assistant Technician,40,13,32.5%,,,,,,
,Medical Office Administrator,22,11,50.0%,,,,,,
,Network Administrator,7,2,28.6%,,,,,,
,Paralegal,19,8,42.1%,,,,,,
,Personal Support Worker,47,12,25.5%,,,,,,
,Travel And Tourism,9,4,44.4%,,,,,,
EVEREST COLLEGE - NEPEAN Total,,212,82,38.7%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - NEWMARKET,Addictions And Community Services Worker,20,11,55.0%,,,,,,
,Business Administration,12,3,25.0%,,,,,,
,Dental Office And Chairside Assistant,21,8,38.1%,,,,,,
,Intra Oral Dental Assistant,10,6,60.0%,,,,,,
,Law Enforcement Foundations,*,*,*,,,,,,
,Medical Office Administrator,26,12,46.2%,,,,,,
,Personal Support Worker,18,6,33.3%,,,,,,
EVEREST COLLEGE - NEWMARKET Total,,109,46,42.2%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - NORTH YORK,Accounting And Payroll Administration,39,19,48.7%,,,,,,
,Addictions And Community Services Worker,11,6,54.5%,,,,,,
,Banking And Financial Services,24,16,66.7%,,,,,,
,Business Administration,50,22,44.0%,,,,,,
,Dental Office And Chairside Assistant,38,15,39.5%,,,,,,
,"Health, Fitness And Nutrition Consultant",15,7,46.7%,,,,,,
,Intra Oral Dental Assisting,18,7,38.9%,,,,,,
,Law Enforcement Foundations,18,9,50.0%,,,,,,
,Medical Office Administrator,82,38,46.3%,,,,,,
,Network Administrator,23,12,52.2%,,,,,,
,Paralegal,48,27,56.3%,,,,,,
,Personal Support Worker,56,29,51.8%,,,,,,
,Physiotherapist Assistant,30,17,56.7%,,,,,,
,Travel And Tourism,28,13,46.4%,,,,,,
EVEREST COLLEGE - NORTH YORK Total,,480,237,49.4%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - OTTAWA,Accounting And Payroll Administration,27,18,66.7%,,,,,,
,Addictions And Community Services Worker,42,20,47.6%,,,,,,
,Business Administration,18,11,61.1%,,,,,,
,Cardiology Technologist ,14,5,35.7%,,,,,,
,Dental Office And Chairside Assistant,22,13,59.1%,,,,,,
,Early Childcare Assistant,10,5,50.0%,,,,,,
,"Health, Fitness And Nutrition Consultant",14,6,42.9%,,,,,,
,Intra Oral Dental Assistant,12,4,33.3%,,,,,,
,Law Enforcement Foundations,14,7,50.0%,,,,,,
,Massage Therapy,25,4,16.0%,,,,,,
,Medical Laboratory Assistant Technician,57,28,49.1%,,,,,,
,Medical Office Administrator,36,16,44.4%,,,,,,
,Network Administrator,11,3,27.3%,,,,,,
,Personal Support Worker,29,8,27.6%,,,,,,
,Physiotherapist Assistant,16,8,50.0%,,,,,,
EVEREST COLLEGE - OTTAWA Total,,347,156,45.0%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - SCARBOROUGH,Accounting And Payroll Administrator,30,13,43.3%,,,,,,
,Addictions And Community Service Worker,40,28,70.0%,,,,,,
,Banking And Financial Services,20,8,40.0%,,,,,,
,Business Administration,15,5,33.3%,,,,,,
,Dental Office And Chairside Assistant,17,8,47.1%,,,,,,
,Early Childcare Assistant,14,7,50.0%,,,,,,
,Intra Oral Dental Assistant,16,7,43.8%,,,,,,
,Law Enforcement Foundations,28,15,53.6%,,,,,,
,Medical Laboratory Assistant Technician,50,27,54.0%,,,,,,
,Medical Office Administrator,64,37,57.8%,,,,,,
,Network Administrator,30,15,50.0%,,,,,,
,Personal Support Worker,63,29,46.0%,,,,,,
EVEREST COLLEGE - SCARBOROUGH Total,,387,199,51.4%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - SUDBURY,Accounting And Payroll Administration,9,5,55.6%,,,,,,
,Addictions And Community Services Worker,30,14,46.7%,,,,,,
,Business Administration,*,*,*,,,,,,
,Executive Office Assistant,11,3,27.3%,,,,,,
,"Health, Fitness And Nutrition Consultant",15,6,40.0%,,,,,,
,Law Enforcement Foundations,10,4,40.0%,,,,,,
,Massage Therapy ,14,7,50.0%,,,,,,
,Medical Laboratory Assistant Technician,35,18,51.4%,,,,,,
,Medical Office Administrator,37,16,43.2%,,,,,,
,Network Administrator,6,1,16.7%,,,,,,
,Personal Support Worker,40,16,40.0%,,,,,,
EVEREST COLLEGE - SUDBURY Total,,210,93,44.3%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - THUNDER BAY,Accounting And Computer Applications,7,2,28.6%,,,,,,
,Addictions And Community Services Worker,8,2,25.0%,,,,,,
,Esthetics,8,5,62.5%,,,,,,
,Legal Administration Assistant,5,3,60.0%,,,,,,
,Massage Therapy,9,2,22.2%,,,,,,
,Medical Office Administrator,10,4,40.0%,,,,,,
,Personal Support Worker,21,10,47.6%,,,,,,
EVEREST COLLEGE - THUNDER BAY Total,,68,28,41.2%,,,,,,
,,,,,,,,,,
"EVEREST COLLEGE - TORONTO, COLLEGE PARK",Accounting And Payroll Administration,14,7,50.0%,,,,,,
,Addictions And Community Services Worker,16,9,56.3%,,,,,,
,Business Administration,8,4,50.0%,,,,,,
,Cardiology Technologist ,12,5,41.7%,,,,,,
,Dental Office And Chairside Assistant,20,9,45.0%,,,,,,
,Early Childcare Assistant,12,4,33.3%,,,,,,
,Esthetics,8,2,25.0%,,,,,,
,Intra Oral Dental Assistant,*,*,*,,,,,,
,Massage Therapy,29,13,44.8%,,,,,,
,Medical Laboratory Assistant Technician,49,20,40.8%,,,,,,
,Medical Office Administrator,22,12,54.5%,,,,,,
,Personal Support Worker,15,6,40.0%,,,,,,
,Physiotherapist Assistant,12,4,33.3%,,,,,,
"EVEREST COLLEGE - TORONTO, COLLEGE PARK Total ",,220,97,44.1%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - WINDSOR,Accounting And Computer Apps,*,*,*,,,,,,
,Addictions And Community Services Worker,18,12,66.7%,,,,,,
,Business Administration,15,7,46.7%,,,,,,
,Dental Office And Chairside Assistant,8,3,37.5%,,,,,,
,"Health, Fitness And Nutrition Consultant",12,5,41.7%,,,,,,
,Intra Oral Dental Assistant,11,8,72.7%,,,,,,
,Law Enforcement Foundations,15,4,26.7%,,,,,,
,Massage Therapy,9,5,55.6%,,,,,,
,Medical Laboratory Assistant Technician,19,10,52.6%,,,,,,
,Medical Office Administrator,21,13,61.9%,,,,,,
,Network Administrator,8,3,37.5%,,,,,,
,Personal Support Worker,68,32,47.1%,,,,,,
EVEREST COLLEGE - WINDSOR Total,,206,103,50.0%,,,,,,
,,,,,,,,,,
FOUNDATION FOR MONTESSORI EDUCATION,A.M.I. Primary Teacher Training Program,9,3,33.3%,,,,,,
FOUNDATION FOR MONTESSORI EDUCATION Total,,9,3,33.3%,,,,,,
,,,,,,,,,,
GINA'S COLLEGE OF ADVANCED AESTHETICS - MISSISSAUGA,Advanced Aesthetics And Electrolysis,*,*,*,,,,,,
GINA'S COLLEGE OF ADVANCED AESTHETICS - MISSISSAUGA Total,,*,*,*,,,,,,
,,,,,,,,,,
GINA'S COLLEGE OF ADVANCED AESTHETICS - OTTAWA,Advanced Aesthetics And Electrolysis,6,3,50.0%,,,,,,
GINA'S COLLEGE OF ADVANCED AESTHETICS - OTTAWA Total,,6,3,50.0%,,,,,,
,,,,,,,,,,
GINA'S COLLEGE OF ADVANCED AESTHETICS - WATERLOO,Advanced Aesthetics,*,*,*,,,,,,
,Advanced Aesthetics And Electrolysis,12,7,58.3%,,,,,,
,Hairstylist,11,0,0.0%,,,,,,
GINA'S COLLEGE OF ADVANCED AESTHETICS - WATERLOO Total,,25,7,28.0%,,,,,,
,,,,,,,,,,
GRAND HEALTH ACADEMY,Physiotherapist/Rehabilitation Assistant,*,*,*,,,,,,
GRAND HEALTH ACADEMY Total,,*,*,*,,,,,,
,,,,,,,,,,
HARRIS INSTITUTE FOR THE ARTS,Arts Management Program,8,4,50.0%,,,,,,
,Audio Production Program,21,7,33.3%,,,,,,
HARRIS INSTITUTE FOR THE ARTS Total,,29,11,37.9%,,,,,,
,,,,,,,,,,
HBI COLLEGE - BURLINGTON,Account And Administration ,*,*,*,,,,,,
,Medical Office Assistant,5,4,80.0%,,,,,,
,Police Foundations,*,*,*,,,,,,
HBI COLLEGE - BURLINGTON Total,,8,4,50.0%,,,,,,
,, ,,,,,,,,
HERZING COLLEGE - OTTAWA,3d Animation,*,*,*,,,,,,
,Accounting And Payroll Administration,*,*,*,,,,,,
,Business Management,7,4,57.1%,,,,,,
,Community Services Worker,16,10,62.5%,,,,,,
,Diploma Website Development,*,*,*,,,,,,
,Diploma In Computer Network Technology,9,3,33.3%,,,,,,
,Medical Office Administrator,16,7,43.8%,,,,,,
,Paralegal,12,7,58.3%,,,,,,
,Personal Support Worker,13,6,46.2%,,,,,,
,Pharmacy Technician,15,7,46.7%,,,,,,
HERZING COLLEGE - OTTAWA Total,,93,46,49.5%,,,,,,
,,,,,,,,,,
HERZING COLLEGE - TORONTO,3-D Animation,5,2,40.0%,,,,,,
,Business Administration,*,*,*,,,,,,
,Community Services Worker,6,2,33.3%,,,,,,
,Computer Graphic Design,8,3,37.5%,,,,,,
,Immigration Consultant,44,22,50.0%,,,,,,
,Law Clerk,6,4,66.7%,,,,,,
,Medical Office Administrator,16,9,56.3%,,,,,,
,Network Systems Technology,11,5,45.5%,,,,,,
,Paralegal,42,17,40.5%,,,,,,
,Police Foundations,18,10,55.6%,,,,,,
,Web Site Design,*,*,*,,,,,,
HERZING COLLEGE - TORONTO Total,,161,77,47.8%,,,,,,
,,,,,,,,,,
INSTITUTE OF TECHNICAL TRADES - SCARBOROUGH,Cnc Machine Setup/Operator,7,4,57.1%,,,,,,
,Welder Fitter,26,1,3.8%,,,,,,
INSTITUTE OF TECHNICAL TRADES - SCARBOROUGH Total,,33,5,15.2%,,,,,,
,,,,,,,,,,
KIKKAWA COLLEGE,Massage Therapy,32,9,28.1%,,,,,,
KIKKAWA COLLEGE Total,,32,9,28.1%,,,,,,
,,,,,,,,,,
"KLC COLLEGE - KINGSTON, 675 Arlington ",Personal Support Worker,9,2,22.2%,,,,,,
"KLC COLLEGE - KINGSTON, 675 Arlington Total",,9,2,22.2%,,,,,,
,,,,,,,,,,
"KLC COLLEGE - KINGSTON, 742 Arlington ",Child And Youth Care Worker ,7,3,42.9%,,,,,,
,Dental Administration,*,*,*,,,,,,
,Dental Assist Level I and ii,12,5,41.7%,,,,,,
,Education Assistant,*,*,*,,,,,,
,Legal Administration,*,*,*,,,,,,
,Medical Administration,10,3,30.0%,,,,,,
,Office Administration,*,*,*,,,,,,
,Personal Support Worker,25,10,40.0%,,,,,,
,Pharmacy Technician,*,*,*,,,,,,
,Physio And Occupational Therapist Assistant,9,4,44.4%,,,,,,
"KLC COLLEGE - KINGSTON, 742 Arlington Total",,74,31,41.9%,,,,,,
,,,,,,,,,,
KLC COLLEGE - RICHMOND HILL,Education Assistant,6,2,33.3%,,,,,,
KLC COLLEGE - RICHMOND HILL - Total,,6,2,33.3%,,,,,,
,,,,,,,,,,
KLC COLLEGE - WHITBY,Education Assistant,13,4,30.8%,,,,,,
,Personal Support Worker,5,2,40.0%,,,,,,
KLC COLLEGE - WHITBY Total,,18,6,33.3%,,,,,,
,,,,,,,,,,
LUBA MERA SCHOOL OF AESTHETICS AND COSMETOLOGY,Advanced Aesthetics And Cosmetology,10,3,30.0%,,,,,,
LUBA MERA SCHOOL OF AESTHETICS AND COSMETOLOGY Total,,10,3,30.0%,,,,,,
,,,,,,,,,,
MARCA COLLEGE OF HAIR AND ESTHETICS - BRAMPTON ,Hairstyling,36,18,50.0%,,,,,,
MARCA COLLEGE OF HAIR AND ESTHETICS - BRAMPTON Total,,36,18,50.0%,,,,,,
,,,,,,,,,,
MARCA COLLEGE OF HAIR AND ESTHETICS - MISSISSAUGA,Esthetics,9,3,33.3%,,,,,,
,Hairstyling,34,19,55.9%,,,,,,
MARCA COLLEGE OF HAIR AND ESTHETICS - MISSISSAUGA Total,,43,22,51.2%,,,,,,
,,,,,,,,,,
"MARCA COLLEGE OF HAIR AND ESTHETICS - TORONTO, DANFORTH AVE.",Esthetics,8,4,50.0%,,,,,,
,Hairstyling,42,23,54.8%,,,,,,
"MARCA COLLEGE OF HAIR AND ESTHETICS - TORONTO, DANFORTH AVE Total",,50,27,54.0%,,,,,,
,,,,,,,,,,
"MARCA COLLEGE OF HAIR DESIGN - TORONTO, DUFFERIN AVE.",Hairstyling,58,25,43.1%,,,,,,
"MARCA COLLEGE OF HAIR DESIGN - TORONTO, DUFFERIN AVE. Total",,58,25,43.1%,,,,,,
,,,,,,,,,,
MARVEL BEAUTY SCHOOLS - BARRIE,Hairstyling,18,10,55.6%,,,,,,
MARVEL BEAUTY SCHOOLS - BARRIE Total,,18,10,55.6%,,,,,,
,,,,,,,,,,
MARVEL BEAUTY SCHOOLS - CAMBRIDGE,Hairstyling,14,6,42.9%,,,,,,
MARVEL BEAUTY SCHOOLS - CAMBRIDGE Total,,14,6,42.9%,,,,,,
,,,,,,,,,,
MARVEL BEAUTY SCHOOLS - CHATHAM,Hairstyling,11,5,45.5%,,,,,,
MARVEL BEAUTY SCHOOLS - CHATHAM Total,,11,5,45.5%,,,,,,
,,,,,,,,,,
MARVEL BEAUTY SCHOOLS - KITCHENER,Hairstyling,9,6,66.7%,,,,,,
MARVEL BEAUTY SCHOOLS - KITCHENER Total,,9,6,66.7%,,,,,,
,,,,,,,,,,
MARVEL BEAUTY SCHOOLS - LONDON,Hairstyling,55,30,54.5%,,,,,,
MARVEL BEAUTY SCHOOLS - LONDON Total,,55,30,54.5%,,,,,,
,,,,,,,,,,
MARVEL BEAUTY SCHOOLS - MARKHAM,Esthetics,*,1,100.0%,,,,,,
,Hairstyling,13,4,30.8%,,,,,,
MARVEL BEAUTY SCHOOLS - MARKHAM Total,,14,5,35.7%,,,,,,
,,,,,,,,,,
MARVEL BEAUTY SCHOOLS - ORILLIA,Hairstyling,8,4,50.0%,,,,,,
MARVEL BEAUTY SCHOOLS - ORILLIA Total,,8,4,50.0%,,,,,,
,,,,,,,,,,
MARVEL BEAUTY SCHOOLS - TORONTO,Esthetics,14,7,50.0%,,,,,,
,Hairstyling,31,17,54.8%,,,,,,
MARVEL BEAUTY SCHOOLS - TORONTO Total,,45,24,53.3%,,,,,,
,,,,,,,,,,
MARVEL BEAUTY SCHOOLS - WINDSOR,Esthetics,5,3,60.0%,,,,,,
,Hairstyling,32,19,59.4%,,,,,,
MARVEL BEAUTY SCHOOLS - WINDSOR Total,,37,22,59.5%,,,,,,
,,,,,,,,,,
MAXWELL COLLEGE OF ADVANCED TECHNOLOGY,Dental Assist Level ii,*,*,*,,,,,,
,Dental Office Administration,*,*,*,,,,,,
,Medical Office Administration,*,*,*,,,,,,
MAXWELL COLLEGE OF ADVANCED TECHNOLOGY Total,,5,1,20.0%,,,,,,
,,,,,,,,,,
,,,,,,,,,,
MEDIX COLLEGE - BRAMPTON,Community Service Worker,8,5,62.5%,,,,,,
,"Heating, Ventilation and Air Conditioning Technician",*,*,*,,,,,,
,Intra Oral Dental Assistant,11,5,45.5%,,,,,,
,Medical Lab  Assistant Technician,33,16,48.5%,,,,,,
,Medical Office Administrator,16,9,56.3%,,,,,,
,Personal Support Worker,28,13,46.4%,,,,,,
,Pharmacy Assistant,*,*,*,,,,,,
MEDIX COLLEGE - BRAMPTON Total,,99,49,49.5%,,,,,,
,,,,,,,,,,
MEDIX COLLEGE - BRANTFORD,Community Service Worker,8,4,50.0%,,,,,,
,Developmental Service Worker,14,7,50.0%,,,,,,
,Intra Oral Dental Assistant,13,9,69.2%,,,,,,
,Medical Office Administrator,16,6,37.5%,,,,,,
,Medical Office Assistant,5,0,0.0%,,,,,,
,Personal Support Worker,30,6,20.0%,,,,,,
,Pharmacy Assistant,7,1,14.3%,,,,,,
MEDIX COLLEGE - BRANTFORD Total,,93,33,35.5%,,,,,,
,,,,,,,,,,
MEDIX COLLEGE - KITCHENER,Community Service Worker,12,6,50.0%,,,,,,
,Developmental Service Worker,5,1,20.0%,,,,,,
,Intra Oral Dental Assistant,16,5,31.3%,,,,,,
,Massage Therapy ,11,4,36.4%,,,,,,
,Medical And General Laboratory Assistant,,5,41.7%,,,,,,
,Medical Laboratory Assistant Technician,10,4,40.0%,,,,,,
,Medical Office Administrator,24,9,37.5%,,,,,,
,Medical Office Assistant,*,*,*,,,,,,
,Personal Support Worker,21,10,47.6%,,,,,,
,Pharmacy Assistant,5,3,60.0%,,,,,,
MEDIX COLLEGE - KITCHENER Total,,120,48,40.0%,,,,,,
,,,,,,,,,,
MEDIX COLLEGE - LONDON,Community Service Worker,18,9,50.0%,,,,,,
,Intra Oral Dental Assistant,27,12,44.4%,,,,,,
,Massage Therapy,14,9,64.3%,,,,,,
,Medical Laboratory Assistant Technician,31,18,58.1%,,,,,,
,Medical Office Administrator,39,18,46.2%,,,,,,
,Personal Support Worker,42,20,47.6%,,,,,,
,Pharmacy Assistant,11,6,54.5%,,,,,,
MEDIX COLLEGE - LONDON Total,,182,92,50.5%,,,,,,
,,,,,,,,,,
MEDIX COLLEGE - SCARBOROUGH,Community Service Worker,6,3,50.0%,,,,,,
,Early Childcare Assistant,*,*,*,,,,,,
,Intra Oral Dent Assist,25,8,32.0%,,,,,,
,Medical Office Administrator,38,22,57.9%,,,,,,
,Massage Therapy,12,9,75.0%,,,,,,
,Medical Laboratory Assistant Technician,44,16,36.4%,,,,,,
,Pharmacy Assistant,44,5,27.8%,,,,,,
,Personal Support Worker,34,10,29.4%,,,,,,
,Professional Fitness Consultant,*,*,*,,,,,,
MEDIX COLLEGE - SCARBOROUGH Total,,179,74,41.3%,,,,,,
,,,,,,,,,,
MEDIX COLLEGE - TORONTO,Community Service Worker,16,4,25.0%,,,,,,
,Intra Oral Dental Assist,21,10,47.6%,,,,,,
,Massage Therapy,12,6,50.0%,,,,,,
,Medical Office Administrator,68,34,50.0%,,,,,,
,Medical Laboratory Assistant Technician,73,38,52.1%,,,,,,
,Personal Support Worker,51,23,45.1%,,,,,,
,Pharmacy Assistant,22,8,36.4%,,,,,,
,Professional Fitness Consultant,*,*,*,,,,,,
MEDIX COLLEGE - TORONTO Total,,264,123,46.6%,,,,,,
,,,,,,,,,,
METALWORKS INSTITUTE,Audio Production And Engineering,19,3,15.8%,,,,,,
,Entertainment Business Management,*,*,*,,,,,,
,Show Production And Event Management,*,*,*,,,,,,
METALWORKS INSTITUTE Total,,26,8,30.8%,,,,,,
,,,,,,,,,,
NATIONAL ACADEMY OF HEALTH AND BUSINESS - HAMILTON,Accounting And Pay Administration,6,3,50.0%,,,,,,
,Community Service Worker,16,10,62.5%,,,,,,
,Early Childcare Assistant,15,5,33.3%,,,,,,
,Intra-Oral Dental Assistant,9,2,22.2%,,,,,,
,Law Enforcement/Police Foundations,12,4,33.3%,,,,,,
,Personal Support Worker,39,15,38.5%,,,,,,
,Physiotherapist Assistant,9,3,33.3%,,,,,,
NATIONAL ACADEMY OF HEALTH AND BUSINESS - HAMILTON Total,,106,42,39.6%,,,,,,
,,,,,,,,,,
NATIONAL ACADEMY OF HEALTH AND BUSINESS - MISSISSAUGA,Accounting And Payroll Administration,9,4,44.4%,,,,,,
,Business Office Administration,*,*,*,,,,,,
,Community Service Worker,11,8,72.7%,,,,,,
,Early Childcare Assistant,12,7,58.3%,,,,,,
,Health Service Office Administration,11,7,63.6%,,,,,,
,Intra-Oral Dental Assistant,21,10,47.6%,,,,,,
,Law Enforcement/Police Foundations,11,4,36.4%,,,,,,
,Medical Laboratory Assistant Technician,23,10,43.5%,,,,,,
,Personal Support Worker,28,8,28.6%,,,,,,
,Pharmacy Technician,14,6,42.9%,,,,,,
,Physiotherapist Assistant,6,2,33.3%,,,,,,
NATIONAL ACADEMY OF HEALTH AND BUSINESS - MISSISSAUGA Total,,149,67,45.0%,,,,,,
,, ,,,,,,,,
NORTH AMERICAN COLLEGE OF INFORMATION AND TECHNOLOGY,Accounting And Finance,7,0,0.0%,,,,,,
,Administration Assistant,*,*,*,,,,,,
,Advanced Esthetics,5,2,40.0%,,,,,,
,Business Administration,22,12,54.5%,,,,,,
,Computer Network Engineering Design And Technology ,*,*,*,,,,,,
,Civil Engineering Design And Technology,10,8,80.0%,,,,,,
,Computer Network Engineering Design And Technology,*,*,*,,,,,,
,Electrical and Electronic Engineering Design and Technology,6,3,50.0%,,,,,,
,Early Childcare Assistant,14,8,57.1%,,,,,,
,Esthetics,*,*,*,,,,,,
,Mechanical Engineering Design And Technology,*,*,*,,,,,,
,Medical Office Assistant,7,4,57.1%,,,,,,
,Personal Support Worker,14,8,57.1%,,,,,,
,Pharmacy Assistant,*,*,*,,,,,,
NORTH AMERICAN COLLEGE OF INFORMATION AND TECHNOLGY Total,,93,48,51.6%,,,,,,
,,,,,,,,,,
NORTH AMERICAN TRADE SCHOOLS ,Cabinetmaking,10,3,30.0%,,,,,,
,Electrical Technology,18,4,22.2%,,,,,,
,Home Renovation Technician,40,7,17.5%,,,,,,
,"Heating, Ventilation, Air Conditioning Technician",46,9,19.6%,,,,,,
,Welding Technology,61,13,21.3%,,,,,,
NORTH AMERICAN TRADE SCHOOLS Total,,175,36,20.6%,,,,,,
,, ,,,,,,,,
NU-WAVE SCHOOL OF HAIR DESIGN ,Hairstyling,6,0,0.0%,,,,,,
NU-WAVE SCHOOL OF HAIR DESIGN Total,,6,0,0.0%,,,,,,
,,,,,,,,,,
ONTARIO COLLEGE OF HEALTH AND TECHNOLOGY,Culinary Arts,*,*,*,,,,,,
,Massage Therapy,13,3,23.1%,,,,,,
,Medical Office Administration,*,*,*,,,,,,
,PC Paramedic,18,8,44.4%,,,,,,
ONTARIO COLLEGE OF HEALTH AND TECHNOLOGY Total,,34,13,38.2%,,,,,,
,,,,,,,,,,
ONTARIO INSTITUTE OF AUDIO RECORDING TECHNOLOGY,Audio Recording Technology,24,9,37.5%,,,,,,
ONTARIO INSTITUTE OF AUDIO RECORDING TECHNOLOGY Total,,24,9,37.5%,,,,,,
,,,,,,,,,,
OTTAWA ACADEMY,Medical Esthetician ,9,3,33.3%,,,,,,
,Professional Hairstyling,22,10,45.5%,,,,,,
OTTAWA ACADEMY Total,,31,13,41.9%,,,,,,
,,,,,,,,,,
"OXFORD COLLEGE OF ARTS, BUSINESS AND TECHNOLOGY",Clinical Research Associate,18,8,44.4%,,,,,,
,Dental Hygiene,54,28,51.9%,,,,,,
,Financial Assistant/Computer Accounting,*,*,*,,,,,,
,Intra Oral Dental Assistant Level I and ii,14,7,50.0%,,,,,,
,Medical Laboratory Technician,9,4,44.4%,,,,,,
,Office Administration - Dental/Medical,8,3,37.5%,,,,,,
